url,title,description,thumbnail,tags,skills,what you'll need,instructions,variations,info checked,tested
https://uk.pinterest.com/pin/2322237296850211/,laser maze,,https://i.pinimg.com/736x/b9/49/36/b949360cef33fa9774bee8c82d5bbd95.jpg,"Physical Ed, Movement, Focus","Agility, Spatial awareness","Red yarn or string, hallway, tape","1. Tape yarn across a hallway at different heights and angles. 2. The child must navigate through the ""lasers"" without touching them. 3. Crawl under, climb over, and step through the gaps. 4. If they touch a string, they have to start over. 5. Time the mission to see who is the stealthiest ""spy.""",try with tape,y,n
https://www.instagram.com/reels/C15UEsqvb9z/,flying plastic,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQqYGYaVRxhMa1AS5PL1gwR6_AdAVRsDXZ_IaM7WnYNIXrIDg,"Science, Physics","static, Movement","balloon, fake fur, plastic bag, scissors, wooden spoon or stick","cut part of lightweight platic bag into band, rub it with fake fur, rub balloon with fake fur, pick plastic up with something wooden and drop above balloon",,y,n
,bubble snakes,,https://www.unediscoveryvoyager.org.au/wp-content/uploads/2025/02/Bubble-snake.jpg,"Science, Physics",bubbles,"Water, dish soap, anything with one end around the width of a sock and the other small enough to blow through e.g. toilet roll tube or platsic bottle with bottom cut off, anything you can keep bubble solution in plate/tray/mug ","mix washing up liquid with water (experiment with everything from a 1:10 to 1:2 ratio), put sock on one end of tube, dip sock end of tube in bubble mix and blow through the other end.",add a few drops of food colouring to the sock if you want to make rainbow bubble snakes,y,y
,playdoughdinos2,,https://raw.githubusercontent.com/boobalootoo/things/refs/heads/main/EYed/picsforacs/playdoughdinos2.png,"Art, Animals, History","Anatomy, History","Play dough, toy dinosaurs","1. Give the child a lump of play dough. 2. Ask them to ""copy"" a toy dinosaur by modeling one out of dough. 3. Focus on the long neck or the sharp spikes. 4. Discuss how the play dough version is different from the plastic one. 5. This builds observation skills and fine motor control.",,y,y
,playdoughdinos3,,https://raw.githubusercontent.com/boobalootoo/things/refs/heads/main/EYed/picsforacs/playdoughdinos3.png,"Art, Animals, History","Anatomy, History","Play dough, toy dinosaurs","1. Give the child a lump of play dough. 2. Ask them to ""copy"" a toy dinosaur by modeling one out of dough. 3. Focus on the long neck or the sharp spikes. 4. Discuss how the play dough version is different from the plastic one. 5. This builds observation skills and fine motor control.",,y,y
,playdoughdinos4,,https://raw.githubusercontent.com/boobalootoo/things/refs/heads/main/EYed/picsforacs/playdoughdinos4.png,"Art, Animals, History","Anatomy, History","Play dough, toy dinosaurs","1. Give the child a lump of play dough. 2. Ask them to ""copy"" a toy dinosaur by modeling one out of dough. 3. Focus on the long neck or the sharp spikes. 4. Discuss how the play dough version is different from the plastic one. 5. This builds observation skills and fine motor control.",,y,y
,body part placer,,https://i.ebayimg.com/images/g/uI0AAeSwIexpZ5d~/s-l1600.webp,"Science, Biology, Recognition","Anatomy, Observation","Paper, tape, markers","1. Draw a large outline of a person on a roll of paper. 2. Create separate cards with the names or drawings of body parts (elbow, knee, lungs). 3. Have children take turns placing the cards on the correct spot on the outline. 4. Discuss what each part does. 5. Use your own body to ""find"" the parts as you place the cards.","could do layers to show different systems e.g. skeleton, muscles, organs ",y,n
,dinobones,,https://raw.githubusercontent.com/boobalootoo/things/refs/heads/main/EYed/picsforacs/dinobones.png,"Science, Geology, History","Archaeology, Anatomy","white paper straws or lolly sticks, or playdough, or cutting out pieces of paper, scissors, black or brown paper",1. Look at a picture of a dinosaur skeleton. 2. Use whichever art supplies you have on dark paper to recreate the skeleton. 4. Discuss how scientists put real dinosaur bones back together. 5. see if if you can jumble up the parts and put it back together again,,y,n
https://www.instructables.com/Excavation-Kit-educational-DIY-for-Kids/,"Excavation Kit (educational, DIY, for Kids) : 5 Steps (with Pictures) - Instructables","Excavation Kit (educational, DIY, for Kids): A really easy and cheap recipe for young paleontologists: an excavation kit full of surprises. Just take a A4 sized box, plaster of paris, sand, water, some toys to plough under. You'll give the kids hours of fun and learning with only 30 min of pre…",https://content.instructables.com/FY3/ZZ34/K2HKA8Z2/FY3ZZ34K2HKA8Z2.jpg?auto=webp&frame=1&width=2100,"Science, Geology, History","Archaeology, Patience","Plaster of Paris, sand, water, small plastic ""artifacts""","1. Mix sand and plaster with water to create a slurry. 2. Bury small toys or ""fossils"" in the mixture inside a container. 3. Let the block dry completely (usually 24 hours). 4. Provide the ""explorer"" with a brush and a small stick. 5. Carefully chip away the ""rock"" to uncover the treasures inside.",,y,n
https://uk.pinterest.com/pin/2181499815572687/,dino excavation puzzle,,https://i.pinimg.com/736x/27/fd/42/27fd42b2e361e3dc01a1255725431791.jpg,"Science, Geology, History","Archaeology, Patience","cardboard, paint or pens, saltdough or clay, baking paper","make dinosaur bones based on picture, bury, excavate, put back together","see how quickly you can put it back together after jumbling, draw an overlay of what this dino may have looked like when it was alive and talk about the past and present",y,n
https://uk.pinterest.com/pin/68748531587/,mini dino dig,,https://i.pinimg.com/736x/54/75/f5/5475f58e4332e09d492ec639e4b87e9c.jpg,"Science, Geology, History","Archaeology, ","ziploc bag, picture of dino bones,tape,brown food colouring (optional), anything your child might like in a sensory bag e.g. conditioner, soap, shaving foam, sand, coffee grounds, small pebbles","make a sensory bag with anything you want inside the ziploc bag (make sure it is not too full or has too much air to avoid popping, also after zipping the bag fold and tape down), tape the bag to a table or floor with a picture of dino bones underneath, push to see what's under the contents of the bag",,y,n
https://uk.pinterest.com/pin/68749619373/,wobble surfer,,https://i.pinimg.com/736x/fc/41/18/fc411820d3193b17b1d1cb44b305ce22.jpg,"STEM, Physics, Toys","Balance, Center of gravity",,"cut 5 strips of paper, glue or tape 2 into circles. curve 2 other strips into bell curve shapes. glue each end of one of the curved pieces of paper to the remaining flat strip, glue a loop to the top of the curveand the other curved strip on top, followed by the other loop",,y,n
https://uk.pinterest.com/pin/281543726076093/,paper cup acrobat,,https://i.pinimg.com/736x/c5/2e/e6/c52ee6cc2d9e9826fe141ab66458e73d.jpg,"Art, Physics, Engineering","Balance,","Paper cup, string, skewer/chopstick, wire or paperclips, something you can stick the wire through to to act as the acrobat, and something for the feet (could just try bits of blue tac)","put a skewer or chopstick through the bottom of the paper cup and flip it upside down, put a piece of wire through the body to act as the arms, do the same for the legs, curl the ends of the arms around the skewer so it's holding on, attach the feet to the legs",,y,n
https://uk.pinterest.com/pin/1125968743324789/,totter dinos,,https://i.pinimg.com/736x/4e/9d/39/4e9d398a7cbc33665ba11b00afd4a1e5.jpg,"Science, Physics, Animals","Balance, Gravity","paper, scissors, pen/pencil, something to use as a ramp","cut the shape out, fold , set down ramp",,y,n
https://uk.pinterest.com/pin/422281211362344/,cardboard gymnast ,,https://i.pinimg.com/736x/24/1f/3d/241f3d167b17b01469cf5d1c794e7e11.jpg,"STEM, Engineering, Play","Balance, Pivot points","Cardboard, straws, glue, skewer","glue 2 vertical pieces of cardboard to a horizontal base of cardboard. poke a hole near the top of each vertical piece, cut a body out of cardboard and cut the arms out seperately. cut out 3 pieces of straw, glue one to each arm and the body. put a piece of skewer through the straw, glue the other ends of the arms to the long skewer. put the long skewer in the holes. ",,y,n
,balancetree,,https://raw.githubusercontent.com/boobalootoo/things/refs/heads/main/EYed/picsforacs/balancetree.png,"STEM, Math, Engineering","Balance, Precision","Cardboard ""tree"" trunk, lolly sticks (branches)","1. Cut a vertical slits in a cardboard tube. 2. Take turns sliding lolly sticks into the slit. 3. The goal is to keep the ""tree"" balanced as you add more branches. 4. If the tree tips over, the game ends. 5. Discuss how weight distribution affects stability.",write letters on one side of the lolly sticks and letters on the other. start with all the sticks in and try to balance small objects that start with the same letter as on the stick or roll a dice and remove or add the number of sticks on the dice. or you could play it like kerplunk.,y,n
https://www.instructables.com/Stabile-Paper-Sculpture/,Stabile Paper Sculpture : 5 Steps (with Pictures) - Instructables,"Stabile Paper Sculpture: Inspired by artist Alexander Calder, these easy-to-make sculptural pieces provide endless play and creativity for the young art-chitects.",https://content.instructables.com/FZ7/MDM8/K84NL5CC/FZ7MDM8K84NL5CC.jpg?auto=webp&frame=1,"Art, Physics, Sculpture","Balance, Stability, construction","paper,card, or cardboard, scissors",cut out whatever shapes you want and cut slits to slot pieces together,,y,n
https://www.instructables.com/Self-Watering-Terrarium/,Self-Watering Terrarium! : 7 Steps (with Pictures) - Instructables,"Self-Watering Terrarium!: Don't have 4.5 billion years to make a planet? Make your own tiny world on the quick and cheap! After you throw in the basics, cap it off with an ozone, and let life take over. This terrarium is a great quick project to introduce kiddos (and adults,…",https://content.instructables.com/F66/FNV8/IB8J02L7/F66FNV8IB8J02L7.jpg?auto=webp&frame=1,"Science, Nature","Biology, Ecosystems","Recycled tennis ball container with cap (we ask at tennis courts, but other plastic containers will do)
Sand
Potting soil
Water
Seeds (scarlet runner beans and grass seeds are excellent)
Small cup for pouring","add sand  (two finger widths deep),  4 fingers of soil (DO NOT MIX LAYERS), For the big seeds, make a hole with your finger or a pencil, drop it in, and cover it up. A general rule is to bury seeds at a depth approximately half their longest dimension. You can place a second big seed in there, in case the first one doesn't germinate, but make sure to spread them apart. Don't want them competing too much!

For small seeds, you can just sprinkle them on top. For grass, it grows everywhere (that's what it's bred for!), so you can go heavy with this and they're pretty much guaranteed to grow.                                          To begin the self-watering cycle, we're going to add some in slowly. Grab a small cup, and water your terrarium slowly. You can even tilt and pour down the side of the container to minimize impact with the soil. As you pour, if you look down the side, you can see water seeping down to the sand layer. You want to keep pouring until your soil looks like a nice, chocolate cake mix but without pools.

What's exciting is that after you add this water, you never have to water again. That's right, all the water that ends up in our plants is from that initial bit that you added.                                                                if you add too much water try adding more dry soil on top to absorb the extra water, but it will make it harder for your seeds to grow.                                                                                                                                                                                         put the lid on and leave it on (whatever you end up using must be properly sealed or the water will escape)  LEAVE IN A SUNNY SPOT                                                                                                                             ",,y,n
,mini gardens,,https://i.pinimg.com/1200x/2d/bb/28/2dbb28ffea89b83b98ba14a23364a867.jpg,"Nature, Biology, Responsibility","Botany, Observation","Small containers, soil, seeds, tiny decorations","1. Fill a small pot or tray with soil. 2. Plant quick-growing seeds like cress or grass. 3. Add ""fairy garden"" elements like small stones or stick fences. 4. Water the garden gently every day. 5. Observe how the ""landscape"" changes as the plants grow.",,y,n
,growing chia,,"https://static.wixstatic.com/media/b69dc7_99e04619d1aa4c7a9e78556e5612d57f~mv2.jpg/v1/fill/w_568,h_806,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/b69dc7_99e04619d1aa4c7a9e78556e5612d57f~mv2.jpg","Science, Biology","Botany, Observation","Chia seeds, wet paper towel, tray","1. Sprinkle chia seeds onto a damp paper towel in a tray. 2. Place in a sunny spot and keep the towel wet. 3. Watch as the seeds sprout ""green hair"" in just a few days. 4. Discuss what the seeds need to grow (water and light). 5. Measure how tall the ""grass"" grows each day.",you could also try seperating cardboard so it looks like tilled fields . or you could grow them on the surface of a terracotta pot (it will need to be filled with water and in a dish that holds the water),y,y
https://www.youtube.com/shorts/BBOHOApWVa4,simple breathing exercise with cat animation,"I am not endorsing headspce or suggesting you buy a subscription, they have plenty of free child friendly content like this on youtube. ",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT2VBrNrJVxEN-WGiq7t19yrhfZyaYKhN0loQkkPn7k2SbJ5A,"Health, Self-regulation","Breath control, Calmness",Cat breathing animation video,"1. Watch the animation of the cat breathing in and out. 2. Have the child match their own breathing to the movement of the cat. 3. Breathe in slowly through the nose as the cat expands, and out through the mouth as it shrinks. 4. Use this as a ""reset"" tool when the child feels frustrated or over-excited. 5. This develops foundational skills for emotional regulation.",there are lots of other short meditations with helpful visuals like this https://www.youtube.com/watch?v=kcf0PVKTV-8&list=PLW8o3_GFoCBNyHSvnKyXe5o5ZiMWd9Iao . they also have slightly longer more narative videos themed around things like sesame street  https://www.youtube.com/watch?v=_mh12qNHbgk&list=PLW8o3_GFoCBNxXveDbD1xSQFBCGrHmYPC or star wars https://www.youtube.com/watch?v=_mh12qNHbgk&list=PLW8o3_GFoCBNxXveDbD1xSQFBCGrHmYPC,y,y
https://uk.pinterest.com/pin/749356825499024534/,fire breathing dragon,,https://i.pinimg.com/736x/0d/86/3c/0d863c676cae4f37167693fea2a84d76.jpg,"Art, Drama, Puppetry","Breath control, Expression","Toilet paper roll, tissue paper, glue, markers","1. Paint a cardboard tube green. 2. Glue googly eyes and pom-poms (nostrils) to one end. 3. Glue long strips of red and orange tissue paper inside the other end. 4. Blow through the eye-end of the tube. 5. Watch the ""fire"" flutter as the dragon breathes.",,y,y
,cork boats,,https://images.squarespace-cdn.com/content/v1/58dce485a5790a44f40dbde6/1626621626785-IL9Y8JF2A55I4AULB1VV/cork%2Bboat.jpg,"STEM, Engineering","Buoyancy, Balance","Corks, rubber bands, toothpicks, paper (for sails)","1. Bundle three corks together using rubber bands to create a raft. 2. Stick a toothpick into the center cork for a mast. 3. Add a small paper sail. 4. Place the boat in a tub of water to see if it floats. 5. Blow on the sail to race it across the ""pond.""",use leaves as the sails,y,n
,egg box boat,,https://i.pinimg.com/736x/3d/42/c3/3d42c3be8aeeaf8b3bc497fd8ebceee4.jpg,"Art, Recycling, Engineering","Buoyancy, Construction","Egg carton, lolly stick/skewer, paper, glue","1. Cut a section of an egg carton to be the ""hull."" 2. Glue a lolly stick vertically into one of the cups. 3. Attach a paper sail to the stick. 4. Paint the boat to look like a pirate ship or a rowboat. 5. Test it in a bowl of water to see if it stays upright.",,y,n
https://www.instructables.com/Duck-Boat-Challenge/,junk modelling duck Boat Challenge,,https://content.instructables.com/FGF/G096/JYCUJH8Z/FGFG096JYCUJH8Z.jpg?auto=webp&frame=1&width=2100,"STEM, Engineering, Water","Buoyancy, Problem solving","Rubber duck, junk, tape or string, coins",1. Build a boat out of junk that can carry a rubber duck. 2. Test stability in water. 3. Add coins to see how much weight it can hold before sinking.,,y,n
https://www.instructables.com/Easy-Magical-Walking-Rainbow-Experiment/,Easy Magical Walking Rainbow Experiment : 5 Steps (with Pictures) - Instructables,"Easy Magical Walking Rainbow Experiment: Have fun while learning a few basic scientific methods!
- color theory: the paper towels pull color from the base red, blue, and yellow primary color cups, the resulting mixture creates the secondary colors of green, purple, and orange, completing t…",https://content.instructables.com/FQF/W5G8/KFL44D9H/FQFW5G8KFL44D9H.jpg?auto=webp&frame=1&width=2100,"Science, Physics, Art","Capillary action, Color mixing","6 clear glasses, water, food coloring (Red, Yellow, Blue), paper towels","1. Fill three glasses with water and add Red, Yellow, and Blue dye. 2. Place an empty glass between each colored glass in a circle. 3. Fold paper towels into strips. 4. Bridge the glasses with the towels (one end in colored water, one in empty glass). 5. The water will ""walk"" up the towels and mix in the empty glasses to create Green, Orange, and Purple.",,y,n
https://fr.pinterest.com/pin/318840848637523599/,daisy bloom,,https://raw.githubusercontent.com/boobalootoo/things/refs/heads/main/EYed/picsforacs/daisybloom.png,"Science, Biology, Botany","Capillary action, Observation","Paper, markers, water, spray bottle, scissors","1. Draw a daisy on paper and color it. 2. Fold the petals into the center to create a ""bud."" 3. gently mist the petals with water. 4. Watch as the paper absorbs water and the flower ""blooms"" open. 5. Discuss how real flowers need water to open their petals.",,y,n
,shapesort,,https://raw.githubusercontent.com/boobalootoo/things/refs/heads/main/EYed/picsforacs/shapesort.png,"Math, Sorting, Recognition","Categorization, Geometry","tape, paper, scissors","cut shapes out of paper and tape the same shapes on the floor, see how quickly your child can sort the paper shapes into the same tape shapes",,y,y
,sink or float catogorising,,https://raw.githubusercontent.com/boobalootoo/things/refs/heads/main/EYed/picsforacs/catogorising4.png,"Literacy, Recognition, Logic","Categorization, Language","random collection of items, tub of water","predict whether items will sink or float, test it, discuss why this might be",,y,y
,shopmatch,,,"Recognition, Social Skills","Categorization, Logic","Toy food, shelf","1. Set out a shelf with different ""departments"" (e.g., Fruit, Bakery). 2. Have the child place the toy food in the correct section. 3. Discuss why milk goes in the fridge and bread on the shelf. 4. This develops categorization skills and environmental awareness. 5. Roleplay being the shopkeeper.",,y,n
https://uk.pinterest.com/pin/281543726076092/,balance bird,,https://i.pinimg.com/736x/43/7d/9e/437d9e43df460355b944be171b5feb82.jpg,"Science, Physics, Animals","Center of gravity, Balance","toothpicks, clay or bluetac","1. model a round bird around a toothpick, ensuring the ""beak"" is a sharp point. 2. put 2 more toothpicks into the body and little feet at the ends. 3. Place the beak of the bird on the tip of your finger or pencil.  ",,y,n
https://uk.pinterest.com/pin/2955556002352118/,butterfly spinner,,https://i.pinimg.com/736x/36/f2/bf/36f2bf7cd1c57264e7c27e93ea4d82c1.jpg,"Art, Nature, Physics", Motion,"Cardstock, lollysticks, scissors, string, tape",1. Cut a butterfly shape out of cardstock. 2. Decorate both sides with vibrant colors. 3. make a frame out of lollysticks 4. put a string down the middle of the frame 5. tape the butterfly to the string.,,y,n
,dino eggs,,https://i.pinimg.com/736x/d1/47/e9/d147e9787735b5e0f99d93f86dea8a54.jpg,"Science, Biology, Animals","Change, Life cycles","salt,sand, coffee grounds, flour, toy dinosaur","1. Place a tiny dinosaur inside the mixture. 2.leave to dry for a few days. 3. The ""egg"" must be ""hatched"" to find the dinosaur. 4. Discuss how dinosaurs laid eggs like birds. 5. Use the dinosaurs for imaginative play.",,y,n
https://uk.pinterest.com/pin/1128011037921665152/,egghatch,,https://raw.githubusercontent.com/boobalootoo/things/refs/heads/main/EYed/picsforacs/egghatch.png,"Science, Biology, Animals","Change, Life cycles","paper, glue, pen","draw or print out some pictures of animals that come from eggs, do an egg ouline with glue, place another piece of plain paper on top with the egg outline on it, tear the paper to hatch the eggs",,y,n
,reverse colouring book,,,Art,"Change, Observation","Pre-drawn picture, markers","1. Provide a ""reverse coloring book"" where the *colors* are already on the page but the *lines* are missing. 2. Have the child draw the outlines and details over the color splotches. 3. Discuss what they think each color should be (e.g., ""This blue blob looks like a pond""). 4. This encourages creative interpretation of shapes. 5. Use black fineliners for the best effect.","you could get some watercolours to do the backgrounds yourself, icluding creative painting techniques like splotches or splashes",y,n
